"title","company","industry","job_desc","link"
"Data Engineer","ACSO","Community Services & Development","Do you have a keen passion for databases and data warehouses? If you answered 'yes' then read on! We have a Data Engineer position available.","seek.com.au/job/51684004?type=standard#searchRequestToken=47aa81a1-bd28-483f-8cfa-07c60117ea21"
"Strategic Pricing Analyst","Lockheed Martin Australia Pty Ltd","Accounting","Join LMA's Bids and Proposals team as our new Strategic Pricing Analyst! Offering a genuine worklife balance including a 9 Day Compacted Fortnight!","seek.com.au/job/51822390?type=standard#searchRequestToken=47aa81a1-bd28-483f-8cfa-07c60117ea21"
"Senior SQL Analyst/Developer - End-User role","ETE Group Pty Ltd","Information & Communication Technology","SQL / SQL BI - Senior SQL Analyst/Developer - Work with Azure - International Brand - END-USER role - Lots of new projects - daniel@etegroup.com.au","seek.com.au/job/51838912?type=standard#searchRequestToken=47aa81a1-bd28-483f-8cfa-07c60117ea21"
"Commercial Pricing Analyst","Viva Energy Australia","Consulting & Strategy","Commercial Pricing plays a central role in the success of Viva’s business through setting and supporting our pricing strategies.","seek.com.au/job/51874083?type=standout#searchRequestToken=47aa81a1-bd28-483f-8cfa-07c60117ea21"
"Property Business Analyst","Coles","Consulting & Strategy","Are you a recent graduate or looking to expland on the couple of years' analytical experience you already have? We'd love to hear from you!","seek.com.au/job/51811103?type=standard#searchRequestToken=47aa81a1-bd28-483f-8cfa-07c60117ea21"
"Business Systems Analyst","Computershare Ltd","Information & Communication Technology","This is a key role as we embark on a transformational journey for the business towards digital modernisation and cloud offerings","seek.com.au/job/51833478?type=standard#searchRequestToken=47aa81a1-bd28-483f-8cfa-07c60117ea21"
"Senior Technical Business Analyst - Mainframe","Cognizant Technology Solutions Australia Pty Ltd","Information & Communication Technology","Seeking application for Senior Technical Business Analyst to join our experienced team of consultants.","seek.com.au/job/51853682?type=standout#searchRequestToken=47aa81a1-bd28-483f-8cfa-07c60117ea21"
"Analytics Translator","Kmart","Information & Communication Technology","Great opportunity to partner with our Data Scientists to provide analytics to the wider business.","seek.com.au/job/51756761?type=standout#searchRequestToken=47aa81a1-bd28-483f-8cfa-07c60117ea21"
"Group Reporting Analyst","7-Eleven Australia","Accounting","Imagine if work was more about curiosity and learning and less about doing the same.","seek.com.au/job/51653988?type=standout#searchRequestToken=47aa81a1-bd28-483f-8cfa-07c60117ea21"
"Business Analyst","The Hassett Group","Community Services & Development","Join a national for-purpose organisation in its inaugural Project function.","seek.com.au/job/51768883?type=standard#searchRequestToken=47aa81a1-bd28-483f-8cfa-07c60117ea21"
"Business Analyst – Product & Pricing","Bendigo and Adelaide Bank","Information & Communication Technology","Join a leading-edge cloud native initiative – improve our CX by implementing new product and pricing capabilities offered to our customers.","seek.com.au/job/51869801?type=standout#searchRequestToken=47aa81a1-bd28-483f-8cfa-07c60117ea21"
"Senior Excel/SQL Developer","Retail Directions","Information & Communication Technology","Develop and support a high-quality toolset to handle advanced Merchandise Planning functions within the Retail Directions Platform.","seek.com.au/job/51832701?type=standout#searchRequestToken=47aa81a1-bd28-483f-8cfa-07c60117ea21"
"Development Analyst","Uniting (Victoria and Tasmania) Limited","Community Services & Development","This role will work closely with the Property Development and Finance teams across multiple and concurrent projects.","seek.com.au/job/51832675?type=standout#searchRequestToken=47aa81a1-bd28-483f-8cfa-07c60117ea21"
"Procurement Analyst","BWX Limited","Manufacturing, Transport & Logistics","Acting as an internal Procurement consulting function, the Procurement Analyst will lead tactical sourcing activities, enhance reporting and analytics","seek.com.au/job/51826179?type=standout#searchRequestToken=47aa81a1-bd28-483f-8cfa-07c60117ea21"
"Technical Business Analyst","Complexica Pty Ltd","Information & Communication Technology","Complexica is a leading provider of Artificial Intelligence software looking for experienced client-facing BA with excellent problem-solving skills.","seek.com.au/job/51792730?type=standard#searchRequestToken=47aa81a1-bd28-483f-8cfa-07c60117ea21"
"Business Analyst.","CAREERS AND CANDIDATES","Accounting","Highly commercial role. Really gain insight into business drivers and help Senior Managers to run their businesses.","seek.com.au/job/51861716?type=standout#searchRequestToken=47aa81a1-bd28-483f-8cfa-07c60117ea21"
"Business Analyst - Product Testing","ME Bank","Information & Communication Technology","Are ready to take the step into a green-fields BA role where you can really make your mark in this space & really make a difference at ME?","seek.com.au/job/51858111?type=standout#searchRequestToken=47aa81a1-bd28-483f-8cfa-07c60117ea21"
"Commercial Analyst","Sharp & Carter South East Melbourne","Accounting","Exciting hybrid role for a commercially minded candidate to use their data analytics skills to drive positive strategic outcomes.","seek.com.au/job/51874953?type=standout#searchRequestToken=3026557a-5fe2-4a57-aa18-003ccd625657"
"Senior Data Engineer","Ampion","Information & Communication Technology","Ampion unites 26 years of engineering excellence from award-winning technology service providers Revolution IT and Shelde.","seek.com.au/job/51849243?type=standard#searchRequestToken=3026557a-5fe2-4a57-aa18-003ccd625657"
"Business Analyst","Tally Group","Information & Communication Technology","Tally Group is building the software tools and analytics for the next generation of energy and utility retailers.","seek.com.au/job/51776491?type=standard#searchRequestToken=3026557a-5fe2-4a57-aa18-003ccd625657"
"Business Analyst - Banking","Peoplebank Australia VIC","Information & Communication Technology","Our client operate within the banking sector. We require a IT Business Analyst to join the team in Business and IT Projects","seek.com.au/job/51873610?type=standout#searchRequestToken=3026557a-5fe2-4a57-aa18-003ccd625657"
"Field Sales Analyst","CSG Talent","Sales","A Global Consumer Client of ours are looking for a superstar Field Sales Analyst to join the team! INTERVIEWING NOW!","seek.com.au/job/51773517?type=standard#searchRequestToken=3026557a-5fe2-4a57-aa18-003ccd625657"
"Senior Data Engineer","Servian Pty Ltd","Information & Communication Technology","Work with talented technologists on a wide variety of Data Engineering projects: Big Data, Cloud Platforms - AWS/GCP/Azure/Snowflake","seek.com.au/job/51872190?type=standout#searchRequestToken=3026557a-5fe2-4a57-aa18-003ccd625657"
"Business Analyst I.T","Specsavers Support Office","Information & Communication Technology","We are currently recruiting for a Business Analyst across our I.T Department. The role will report directly into our Lead Business Analyst.","seek.com.au/job/51873711?type=standout#searchRequestToken=3026557a-5fe2-4a57-aa18-003ccd625657"
"Data Engineer (Informatica)","MLC Life Insurance","Information & Communication Technology","The Data Engineer (Informatica) is responsible for the implementation of the code to extract, transform and load data from source systems.","seek.com.au/job/51787940?type=standout#searchRequestToken=3026557a-5fe2-4a57-aa18-003ccd625657"
"Financial Analyst, EPMO","illion Australia & New Zealand","Banking & Financial Services","We currently have an exciting opportunity for a passionate and energetic Finance professional to join our team as a Finance Analyst","seek.com.au/job/51870643?type=standard#searchRequestToken=3026557a-5fe2-4a57-aa18-003ccd625657"
"Business Insights Principal","Xero","Information & Communication Technology","Lead the design, build and ongoing operation of insightful, data-driven reports and dashboards for a wide range of internal users across Xero!","seek.com.au/job/51741803?type=standout#searchRequestToken=3026557a-5fe2-4a57-aa18-003ccd625657"
"Strategy Analyst","Orica","Consulting & Strategy","Support industry leading global corporate development team with strategy analysis and development.","seek.com.au/job/51791362?type=standout#searchRequestToken=3026557a-5fe2-4a57-aa18-003ccd625657"
"Business Intelligence Developer (IT)","TEKsystems","Information & Communication Technology","Well-known Australian sporting brand looking for engineers to lead their cloud journey","seek.com.au/job/51754563?type=standard#searchRequestToken=3026557a-5fe2-4a57-aa18-003ccd625657"
"Data Architect & Governance Specialist","Epworth","Information & Communication Technology","Support Epworth HealthCare to achieve its digital strategic objectives | Drive Data Governance and Architecture uplift | Richmond, 3121","seek.com.au/job/51875672?type=standard#searchRequestToken=3026557a-5fe2-4a57-aa18-003ccd625657"
"Data Engineer - Azure","United Super Pty Ltd","Information & Communication Technology","Key role for an experienced Azure Data Engineer to support our Investments Data platform and join a growing high performing Information Services team.","seek.com.au/job/51786330?type=standout#searchRequestToken=3026557a-5fe2-4a57-aa18-003ccd625657"
"Principal, Technical Business Analyst","ReeceTech","Information & Communication Technology","You will play a pivotal role in establishing the function while working in a multidisciplinary team on green fields, data-driven products and services","seek.com.au/job/51723273?type=standout#searchRequestToken=3026557a-5fe2-4a57-aa18-003ccd625657"
"SQL Developer","Balance Recruitment","Information & Communication Technology","Team is growing! - SQL Developer, opportunity to join a well established & highly regarded consulting company focusing on the Energy Billing solutions","seek.com.au/job/51786849?type=standard#searchRequestToken=3026557a-5fe2-4a57-aa18-003ccd625657"
"Data Engineer","ACSO","Community Services & Development","Data Engineer position available. Join an enthusiastic and experienced team!","seek.com.au/job/51689694?type=standard#searchRequestToken=3026557a-5fe2-4a57-aa18-003ccd625657"
"Digital Analyst","Blackbook Executive","Marketing & Communications","This is a great opportunity for an experienced Analyst with a strong digital lens to join this innovative high growth business.","seek.com.au/job/51764848?type=standout#searchRequestToken=3026557a-5fe2-4a57-aa18-003ccd625657"
"Data Steward","Australian Unity","Information & Communication Technology","Use your knowledge of information governance policies & standards in the context of access, usage, transformation, storage and disposal of data.","seek.com.au/job/51657056?type=standout#searchRequestToken=3503509f-c003-44e6-9cd4-4bdf2c0d0bc9"
"Senior Market Analyst","Origin","Consulting & Strategy","Join a team who analyse global markets today!","seek.com.au/job/51810566?type=standout#searchRequestToken=3503509f-c003-44e6-9cd4-4bdf2c0d0bc9"
"Business Intelligence Developer / Analyst","Junior Adventures Group","Information & Communication Technology","Seeking a high calibre individual who can engage effectively with the business to fulfil essential activities within a small IT team.","seek.com.au/job/51662689?type=standout#searchRequestToken=3503509f-c003-44e6-9cd4-4bdf2c0d0bc9"
"Senior Data Engineers","DWS Limited","Information & Communication Technology","Multiple opportunities for skilled Senior Big Data Engineers in Azure. Databricks, Hardoop (Hive, Spark), Python, Scala, Data Vault 2.0 + CI/CD tools","seek.com.au/job/51776868?type=standout#searchRequestToken=3503509f-c003-44e6-9cd4-4bdf2c0d0bc9"
"Client Data Engineer","DemystData Australia PTY LTD","Information & Communication Technology","Our SolutionDemystData is an External Enterprise Data Platform, used to better discover, test, and access third party data.","seek.com.au/job/51722616?type=standout#searchRequestToken=3503509f-c003-44e6-9cd4-4bdf2c0d0bc9"
"Head of Data and BI","Michael Page Information Technology","Information & Communication Technology","Our client is a leading retailer who has created a new senior management IT role.","seek.com.au/job/51785534?type=standard#searchRequestToken=3503509f-c003-44e6-9cd4-4bdf2c0d0bc9"
"Senior SQL Developer/Analyst","Michael Page Information Technology","Information & Communication Technology","The role will provide solutions to complex data mining requests typically leveraging data from multiple disparate systems and data cleansing.","seek.com.au/job/51786973?type=standard#searchRequestToken=3503509f-c003-44e6-9cd4-4bdf2c0d0bc9"
"Transport Modelling Analytics Manager","Linfox Australia","Information & Communication Technology","An amazing opportunity exists for an experienced Analytics Manager to join our supportive, successful team. Interested? The read on...","seek.com.au/job/51784193?type=standout#searchRequestToken=3503509f-c003-44e6-9cd4-4bdf2c0d0bc9"
"Financial Analyst","Marshall McAdam","Accounting","An opportunity for an experienced Financial Analyst is now available with this fast-growing organisation based in the Northern Suburbs.","seek.com.au/job/51839215?type=standout#searchRequestToken=3503509f-c003-44e6-9cd4-4bdf2c0d0bc9"
"Business Analyst","Australian Healthcare Associates","Information & Communication Technology","Join Australian Healthcare Associates and be part of a team dedicated to the enhancement and support of critical business systems.","seek.com.au/job/51813217?type=standout#searchRequestToken=3503509f-c003-44e6-9cd4-4bdf2c0d0bc9"
"Data Developer","Data Agility","Information & Communication Technology","Looking for an experienced Data Developer with at least 5 years' experience to join our team in Melbourne","seek.com.au/job/51645195?type=standard#searchRequestToken=3503509f-c003-44e6-9cd4-4bdf2c0d0bc9"
"Senior Product Analyst","TABCORP","Marketing & Communications","A very exciting opportunity for a Senior Product Analyst to join our MAX team!","seek.com.au/job/51839649?type=standout#searchRequestToken=3503509f-c003-44e6-9cd4-4bdf2c0d0bc9"
"Director of Data Management","Find A Job","Information & Communication Technology","Newly designed role for a reputable organistation.","seek.com.au/job/51833531?type=standard#searchRequestToken=3503509f-c003-44e6-9cd4-4bdf2c0d0bc9"
"Utilities Business Analyst","FourQuarters Recruitment","Information & Communication Technology","Join one of Melbourne's most well known enterprises to delivery of a retail energy pricing project","seek.com.au/job/51800875?type=standout#searchRequestToken=3503509f-c003-44e6-9cd4-4bdf2c0d0bc9"
"IT Business Analyst","The Salvation Army","Information & Communication Technology","Excellent opportunity to join a high performing project team.","seek.com.au/job/51802591?type=standout#searchRequestToken=3503509f-c003-44e6-9cd4-4bdf2c0d0bc9"
"Data Office Chapter Lead","City of Newcastle","Information & Communication Technology","Enjoy the Newcastle lifestyle and continue to build your career as CN's Digital Services Chapter Lead, forming part of our IT Senior Leadership team.","seek.com.au/job/51802104?type=standout#searchRequestToken=3503509f-c003-44e6-9cd4-4bdf2c0d0bc9"
"Digital Support Analyst","Hostplus Superannuation","Information & Communication Technology","We're working on some big business transformation projects at Hostplus and we're looking for a passionate individual to join us on our journey.","seek.com.au/job/51827097?type=standout#searchRequestToken=3503509f-c003-44e6-9cd4-4bdf2c0d0bc9"
"PROGRAM COORDINATOR, ENTERPRISE SPATIAL ANALYTICS","The University Of Melbourne","Education & Training","Provide coordination, delivery of and continual process innovation of specialist spatial analytics workflow practices","seek.com.au/job/51785252?type=standard#searchRequestToken=3503509f-c003-44e6-9cd4-4bdf2c0d0bc9"
"Data systems Team Lead","Edapt Education Pty Ltd","Information & Communication Technology","Data systems team lead.  Cloud and database technology. Training in database and digital marketing provided.","seek.com.au/job/51848906?type=standard#searchRequestToken=0e11085b-b788-4f1f-b649-a5bbc919e1a6"
"Junior Business Analyst - Financial Services","FourQuarters Recruitment","Banking & Financial Services","Junior Business Analyst required with a leading financial services business. Ideally this candidate will have 2+ years BA experience within FS.","seek.com.au/job/51732308?type=standard#searchRequestToken=0e11085b-b788-4f1f-b649-a5bbc919e1a6"
"Data Engineer - Azure, Python","FourQuarters Recruitment","Information & Communication Technology","Data Engineer required to build and optimise data pipeline architecture and data flows within a leading financial services business","seek.com.au/job/51775003?type=standard#searchRequestToken=0e11085b-b788-4f1f-b649-a5bbc919e1a6"
"EMR/ICT Educator/Clinical Analyst","Austin Health","Information & Communication Technology","EMR and ICT Educator/Analyst","seek.com.au/job/51820083?type=standard#searchRequestToken=0e11085b-b788-4f1f-b649-a5bbc919e1a6"
"Data Engineer","carsales.com Ltd","Information & Communication Technology","design, expand and optimise our data and data pipeline architecture, as well as optimising data flow for our machine learning driven pricing engine","seek.com.au/job/51685763?type=standout#searchRequestToken=0e11085b-b788-4f1f-b649-a5bbc919e1a6"
"Workforce/Real Time Analytics Manager","MYOB","Call Centre & Customer Service","You will own the Workforce Planning & Real Time Analytics function for the MYOB Contact Centres","seek.com.au/job/51856484?type=standout#searchRequestToken=0e11085b-b788-4f1f-b649-a5bbc919e1a6"
"Supply Chain - Capability Analyst","Loop Recruitment","Manufacturing, Transport & Logistics","Kraft Heinz is looking for a passionate and driven individual to join their supply chain function","seek.com.au/job/51877434?type=standout#searchRequestToken=0e11085b-b788-4f1f-b649-a5bbc919e1a6"
"SAS Programmer / Statistical Programmer","Avance Clinical Pty Ltd","Healthcare & Medical","We are recruiting for an experienced SAS Programmer to provide clinical programming expertise for use in clinical study reports.","seek.com.au/job/51617862?type=standout#searchRequestToken=0e11085b-b788-4f1f-b649-a5bbc919e1a6"
"Marketing Analyst","Slater and Gordon Lawyers","Marketing & Communications","Marketing Analyst role | Be part of the team that provides data analytics and reporting insights for client acquisition","seek.com.au/job/51664867?type=standout#searchRequestToken=0e11085b-b788-4f1f-b649-a5bbc919e1a6"
"Senior Consultant - Data Modernisation","Deloitte","Consulting & Strategy","Great team and culture.","seek.com.au/job/51834176?type=standard#searchRequestToken=0e11085b-b788-4f1f-b649-a5bbc919e1a6"
"Technology Performance Analyst","Bupa","Information & Communication Technology","We have a new role within our Technology Agile Delivery team for a Technical Performance Analyst","seek.com.au/job/51685012?type=standard#searchRequestToken=0e11085b-b788-4f1f-b649-a5bbc919e1a6"
"DATA SCIENTIST","On The Line Australia","Science & Technology","SME for all data science initiatives + Full time permanent role  + Career progression opportunity  + SQL & Microsoft Applications experience required","seek.com.au/job/51638007?type=standout#searchRequestToken=0e11085b-b788-4f1f-b649-a5bbc919e1a6"
"Business Analyst - Workers Compensation VIC","Allianz Australia Insurance Ltd","Information & Communication Technology","An exciting opportunity has arisen for an accomplished and results-focused Business Analyst to join Allianz Workers Compensation division","seek.com.au/job/51789886?type=standout#searchRequestToken=0e11085b-b788-4f1f-b649-a5bbc919e1a6"
"Business Analyst","Alex Kaar","Banking & Financial Services","Exciting opportunity exists to join an Australian-owned not-for-profit registered private health insurer.","seek.com.au/job/51668049?type=standout#searchRequestToken=0e11085b-b788-4f1f-b649-a5bbc919e1a6"
"Business Analyst","IMA Management and Technology","Information & Communication Technology","Seeking an experienced Business Analysts to join the IMA team. We have various roles based in the Western Suburbs of Melbourne and surrounding areas.","seek.com.au/job/51726786?type=standout#searchRequestToken=0e11085b-b788-4f1f-b649-a5bbc919e1a6"
"Azure Data Engineer","NTT Ltd","Information & Communication Technology","Solve real world data & BI Challenges | Design & develop intelligent data driven applications | Deliver actionable insight using MS Analytics tools","seek.com.au/job/51838508?type=standard#searchRequestToken=0e11085b-b788-4f1f-b649-a5bbc919e1a6"
"Business Intelligence Specialist","JLL","Information & Communication Technology","As the BI Analyst, you will strategically design, implement, and maintain data software's leveraging integration with the data warehouse.","seek.com.au/job/51649684?type=standout#searchRequestToken=0e11085b-b788-4f1f-b649-a5bbc919e1a6"
"Senior Promos & Offers Analyst","sportsbet.com.au","Banking & Financial Services","Exciting role in a supportive team focusing on the customer value proposition of Sportsbet.","seek.com.au/job/51839827?type=standout#searchRequestToken=0e11085b-b788-4f1f-b649-a5bbc919e1a6"
"Performance Analyst - Funds Management","FourQuarters Recruitment","Banking & Financial Services","Performance Analyst required within a Funds Management focused business who promote a dynamic and flexible work force.","seek.com.au/job/51847472?type=standard#searchRequestToken=b09e2fd1-8ff9-4561-b21c-09c76074117e"
"Senior Insights Analyst","Talent Insights Group Pty Ltd","Information & Communication Technology","Are you looking to work in a flexible, supportive, data driven environment?","seek.com.au/job/51706765?type=standout#searchRequestToken=b09e2fd1-8ff9-4561-b21c-09c76074117e"
"Commercial Operations Analyst","Beach Energy Limited","Mining, Resources & Energy","Proactively manage and optimise the sale of production from Beach Energy’s gas production facilities","seek.com.au/job/51713578?type=standout#searchRequestToken=b09e2fd1-8ff9-4561-b21c-09c76074117e"
"Business Analyst","M&T Resources","Information & Communication Technology","We are looking for an experienced Business Analyst with previous experience building web portals.","seek.com.au/job/51780722?type=standout#searchRequestToken=b09e2fd1-8ff9-4561-b21c-09c76074117e"
"Business Analyst (Talent Search)","SEEK Limited","Information & Communication Technology","Work in a cross functional team and help us foster a work environment where people feel like they're making a difference every single day.","seek.com.au/job/51803796?type=standout#searchRequestToken=b09e2fd1-8ff9-4561-b21c-09c76074117e"
"Superstream Business Analyst","FourQuarters Recruitment","Information & Communication Technology","long term contract with one of Australia's best known Superannuation companies","seek.com.au/job/51801725?type=standard#searchRequestToken=b09e2fd1-8ff9-4561-b21c-09c76074117e"
"Data Analytics Architect","Profusion PAC Pty Ltd","Information & Communication Technology","Prestigious global professional services firm seeks a Data Analytics Architect to join the Data and AI Platform team. Apply today for ASAP start.","seek.com.au/job/51659696?type=standard#searchRequestToken=b09e2fd1-8ff9-4561-b21c-09c76074117e"
"Business Analyst","Six Degrees Executive Pty Ltd","Information & Communication Technology","A globally recognised business is launching an industry leading platform. If you are an innovative and entrepreneurial BA then look no further!","seek.com.au/job/51795001?type=standout#searchRequestToken=b09e2fd1-8ff9-4561-b21c-09c76074117e"
"IT Business Analyst","Davidson Technology","Information & Communication Technology","Are you an IT Business Analyst keen to work for a fantastic NFP based in Melbourne?","seek.com.au/job/51804145?type=standard#searchRequestToken=b09e2fd1-8ff9-4561-b21c-09c76074117e"
"Senior Data Engineer, Data Enrichment","ReeceTech","Information & Communication Technology","Multiple roles! Come work with new team of Applied Data Scientists, Data Engineers, Technical Business Analysts, and Data Platform Engineers.","seek.com.au/job/51817084?type=standout#searchRequestToken=b09e2fd1-8ff9-4561-b21c-09c76074117e"
"Network Analytics DBA","CitiPower and Powercor Australia","Information & Communication Technology","Have a direct impact! A permanent opportunity to apply your knowledge & skills in Database technologies in this exciting role!","seek.com.au/job/51797293?type=standout#searchRequestToken=b09e2fd1-8ff9-4561-b21c-09c76074117e"
"IMS Improvement Business Analyst","Fulton Hogan Pty Ltd","Information & Communication Technology","We a looking for a Process Improvement Business Analyst/Promaster to be part of our Integrated Management System (IMS) improvement project.","seek.com.au/job/51841684?type=standout#searchRequestToken=b09e2fd1-8ff9-4561-b21c-09c76074117e"
"Digitisation Analyst","QBE","Information & Communication Technology","Advise on and deliver solutions for leveraging data associated with underwriting and sales processes to generate insights and process efficiencies.","seek.com.au/job/51642247?type=standard#searchRequestToken=b09e2fd1-8ff9-4561-b21c-09c76074117e"
"Business Analyst","Jim's Group","Information & Communication Technology","Business Analyst with Accounting knowledge Scaling SaaS product Iconic Australian brand  Work from home & office","seek.com.au/job/51601750?type=standard#searchRequestToken=b09e2fd1-8ff9-4561-b21c-09c76074117e"
"Data Engineer - AWS, Python","FourQuarters Recruitment","Information & Communication Technology","Data Engineer required to build a Cloud-based data lake and warehouse for a leading financial services business.","seek.com.au/job/51802639?type=standard#searchRequestToken=b09e2fd1-8ff9-4561-b21c-09c76074117e"
"Finance Business Analyst - Reporting & Insights - BWS & Dan Murphy's","Endeavour Group","Accounting","Your ability to be a strong business partner across multiple stakeholders is key to this role. Join a vibrant, dynamic, and supportive team culture.","seek.com.au/job/51693274?type=standout#searchRequestToken=b09e2fd1-8ff9-4561-b21c-09c76074117e"
"Technical Business Analyst","Lendlease","Information & Communication Technology","Lendlease Services currently has an opportunity for a Technical Business Analyst to join our Telecommunications division.","seek.com.au/job/51742066?type=standout#searchRequestToken=b09e2fd1-8ff9-4561-b21c-09c76074117e"
"Risk Analyst","Talent Insights Group Pty Ltd","Information & Communication Technology","Working for a large reputable global business, where you will be mentoring junior team members and be the technical subject matter expert.","seek.com.au/job/51719551?type=standout#searchRequestToken=b09e2fd1-8ff9-4561-b21c-09c76074117e"
"Finance Systems Analyst","Domain Group","Accounting","Do you have a real knack for finance systems? Join Australia's home of property! Attractive work perks available!","seek.com.au/job/51800386?type=standard#searchRequestToken=b09e2fd1-8ff9-4561-b21c-09c76074117e"
